model;year;transmission;mileage;fuelType;tax;mpg;engineSize;class
 A3;2003;Automatic;101000;Diesel;240;44.5;1.9;A
 A4;2004;Manual;110000;Diesel;315;36.2;2.5;A
 A3;2005;Manual;104000;Petrol;240;38.1;2.0;A
 TT;2002;Manual;131925;Petrol;325;30.1;1.8;A
 A3;2009;Manual;152034;Diesel;150;55.4;1.9;A
 A6;2008;Manual;323000;Diesel;200;44.1;2.0;A
 A2;2003;Manual;100000;Diesel;30;65.7;1.4;A
 A6;2003;Automatic;117000;Diesel;290;39.8;2.5;A
 A6;2003;Manual;129000;Diesel;325;31.7;2.5;A
 A3;2005;Manual;122000;Diesel;150;53.3;0.0;A
 A6;2007;Manual;127700;Diesel;205;44.1;2.0;A
 A4;2007;Manual;125000;Petrol;305;34.9;2.0;A
 A3;2007;Manual;104000;Diesel;145;53.3;1.9;A
 TT;2002;Manual;99000;Petrol;295;30.1;1.8;A
 TT;2004;Manual;129000;Petrol;325;30.8;1.8;A
 A3;2005;Manual;106790;Petrol;240;35.3;1.6;A
 A4;2005;Manual;95000;Petrol;300;34.9;2.0;A
 A3;2008;Manual;117000;Diesel;200;48.7;2.0;A
 A3;2008;Manual;136000;Diesel;205;48.7;2.0;A
 A3;2007;Manual;128000;Diesel;200;48.7;2.0;A
 A4;2006;Manual;114000;Diesel;195;48.7;2.0;A
 A4;2005;Manual;123000;Petrol;300;33.6;1.8;A
 A3;2008;Manual;92500;Diesel;150;53.3;1.9;A
 A3;2008;Manual;82000;Petrol;235;38.7;1.8;A
 A4;2007;Manual;138649;Diesel;325;33.2;2.0;A
 A4;2006;Automatic;105000;Petrol;300;34.0;2.0;A
 A3;2009;Manual;90356;Petrol;200;40.9;1.6;A
 A3;2009;Manual;135800;Diesel;150;55.4;2.0;A
 A3;2009;Manual;120000;Diesel;145;53.3;2.0;A
 A3;2006;Manual;87000;Petrol;305;36.7;2.0;A
 A4;2006;Manual;80000;Petrol;300;33.6;2.0;A
 A4;2006;Manual;93000;Diesel;240;43.4;2.0;A
 A3;2008;Automatic;86000;Petrol;260;37.2;1.8;A
 A4;2008;Manual;148000;Diesel;305;35.8;3.0;A
 A6;2007;Automatic;70000;Diesel;300;39.8;2.7;A
 A4;2008;Automatic;130000;Diesel;200;44.8;2.0;A
 A6;2007;Automatic;136000;Diesel;240;40.4;2.0;A
 A3;2008;Manual;123000;Diesel;160;51.3;2.0;A
 A3;2009;Manual;124000;Diesel;145;53.3;2.0;A
 A1;2011;Manual;116000;Diesel;20;70.6;1.6;A
 A3;2010;Manual;95000;Petrol;200;41.5;1.6;A
 A3;2010;Manual;97000;Diesel;20;68.9;1.6;A
 A4;2008;Manual;91748;Diesel;160;51.4;2.0;A
 A3;2011;Manual;132000;Diesel;125;56.5;2.0;A
