Company;TypeName;Inches;Cpu;Ram;Memory;Gpu;OpSys;Weight;Price_euros
Apple;Ultrabook;13.3;Intel Core i5 2.3GHz;8GB;128GB SSD;Intel Iris Plus Graphics 640;macOS;1.37kg;1339.69
Apple;Ultrabook;13.3;Intel Core i5 1.8GHz;8GB;128GB Flash Storage;Intel HD Graphics 6000;macOS;1.34kg;898.94
HP;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;No OS;1.86kg;575.00
Apple;Ultrabook;15.4;Intel Core i7 2.7GHz;16GB;512GB SSD;AMD Radeon Pro 455;macOS;1.83kg;2537.45
Apple;Ultrabook;13.3;Intel Core i5 3.1GHz;8GB;256GB SSD;Intel Iris Plus Graphics 650;macOS;1.37kg;1803.60
Acer;Notebook;15.6;AMD A9-Series 9420 3GHz;4GB;500GB HDD;AMD Radeon R5;Windows 10;2.1kg;400.00
Apple;Ultrabook;15.4;Intel Core i7 2.2GHz;16GB;256GB Flash Storage;Intel Iris Pro Graphics;Mac OS X;2.04kg;2139.97
Apple;Ultrabook;13.3;Intel Core i5 1.8GHz;8GB;256GB Flash Storage;Intel HD Graphics 6000;macOS;1.34kg;1158.70
Asus;Ultrabook;14;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Nvidia GeForce MX150;Windows 10;1.3kg;1495.00
Acer;Ultrabook;14;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.6kg;770.00
HP;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;No OS;1.86kg;393.90
HP;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;No OS;1.86kg;344.99
Apple;Ultrabook;15.4;Intel Core i7 2.8GHz;16GB;256GB SSD;AMD Radeon Pro 555;macOS;1.83kg;2439.97
Dell;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;256GB SSD;AMD Radeon R5 M430;Windows 10;2.2kg;498.90
Apple;Ultrabook;12;Intel Core M m3 1.2GHz;8GB;256GB SSD;Intel HD Graphics 615;macOS;0.92kg;1262.40
Apple;Ultrabook;13.3;Intel Core i5 2.3GHz;8GB;256GB SSD;Intel Iris Plus Graphics 640;macOS;1.37kg;1518.55
Dell;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;AMD Radeon R5 M430;Windows 10;2.2kg;745.00
Apple;Ultrabook;15.4;Intel Core i7 2.9GHz;16GB;512GB SSD;AMD Radeon Pro 560;macOS;1.83kg;2858.00
Lenovo;Notebook;15.6;Intel Core i3 7100U 2.4GHz;8GB;1TB HDD;Nvidia GeForce 940MX;No OS;2.2kg;499.00
Dell;Ultrabook;13.3;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD;Intel UHD Graphics 620;Windows 10;1.22kg;979.00
Asus;Netbook;11.6;Intel Atom x5-Z8350 1.44GHz;2GB;32GB Flash Storage;Intel HD Graphics 400;Windows 10;0.98kg;191.90
Lenovo;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.5kg;999.00
HP;Notebook;15.6;AMD E-Series E2-9000e 1.5GHz;4GB;500GB HDD;AMD Radeon R2;No OS;1.86kg;258.00
Dell;2 in 1 Convertible;13.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.62kg;819.00
HP;Ultrabook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.91kg;659.00
Dell;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;Windows 10;2.3kg;418.64
Apple;Ultrabook;13.3;Intel Core i5 1.6GHz;8GB;128GB Flash Storage;Intel HD Graphics 6000;Mac OS X;1.35kg;1099.00
Dell;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;AMD Radeon 530;Windows 10;2.2kg;800.00
Dell;Ultrabook;15.6;Intel Core i7 8650U 1.9GHz;8GB;256GB SSD +  256GB SSD;Intel UHD Graphics 620;Windows 10;1.88kg;1298.00
HP;Notebook;17.3;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;Nvidia GeForce 930MX;Windows 10;2.5kg;896.00
Chuwi;Notebook;15.6;Intel Atom x5-Z8300 1.44GHz;4GB;64GB Flash Storage;Intel HD Graphics;Windows 10;1.89kg;244.99
Asus;Notebook;14;AMD E-Series E2-6110 1.5GHz;2GB;32GB Flash Storage;AMD Radeon R2;Windows 10;1.65kg;199.00
HP;Notebook;17.3;AMD A6-Series 9220 2.5GHz;4GB;500GB HDD;AMD Radeon 530;Windows 10;2.71kg;439.00
Dell;Ultrabook;13.3;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.2kg;1869.00
Apple;Ultrabook;13.3;Intel Core i5 1.6GHz;8GB;256GB Flash Storage;Intel HD Graphics 6000;Mac OS X;1.35kg;998.00
Lenovo;Notebook;14;Intel Celeron Dual Core N3350 1.1GHz;4GB;64GB Flash Storage;Intel HD Graphics 500;Windows 10;1.44kg;249.00
Acer;Notebook;15.6;Intel Core i3 7130U 2.7GHz;4GB;1TB HDD;Intel HD Graphics 620;Linux;2.1kg;367.00
Dell;Notebook;17.3;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.8kg;979.00
HP;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;1.86kg;488.69
HP;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Nvidia GeForce 930MX ;Windows 10;2.1kg;879.00
Asus;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 620;Linux;2kg;389.00
Dell;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.65kg;1499.00
Asus;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Nvidia GeForce 940MX;Linux;2.3kg;522.99
Acer;Notebook;15.6;Intel Core i5 8250U 1.6GHz;4GB;256GB SSD;Intel UHD Graphics 620;Windows 10;2.2kg;682.00
Dell;2 in 1 Convertible;17.3;Intel Core i5 8250U 1.6GHz;12GB;1TB HDD;Nvidia GeForce 150MX;Windows 10;2.77kg;999.00
Apple;Ultrabook;13.3;Intel Core i5 2.0GHz;8GB;256GB SSD;Intel Iris Graphics 540;macOS;1.37kg;1419.00
Lenovo;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;No OS;2.2kg;369.00
Asus;Gaming;17.3;AMD Ryzen 1700 3GHz;8GB;256GB SSD +  1TB HDD;AMD Radeon RX 580;Windows 10;3.2kg;1299.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;AMD Radeon R5 M430;Windows 10;2.3kg;639.00
Asus;Notebook;17.3;Intel Pentium Quad Core N4200 1.1GHz;4GB;1TB HDD;Nvidia GeForce 920MX;Windows 10;2.8kg;466.00
Lenovo;2 in 1 Convertible;10.1;Intel Atom x5-Z8550 1.44GHz;4GB;64GB Flash Storage;Intel HD Graphics 400;Android;0.69kg;319.00
Acer;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Nvidia GeForce MX150;Windows 10;2.2kg;841.00
